Variable,Type,Community,Value,Z-Score,Classification
NumInShelters,count,NewYorkcity,23383.0,41.33129170924341,Potential data error
robberies,count,NewYorkcity,86001.0,38.121880460363684,Potential data error
autoTheft,count,NewYorkcity,112464.0,34.38983454575423,Potential data error
murders,count,NewYorkcity,1946.0,33.32973340788967,Potential data error
burglaries,count,NewYorkcity,99207.0,31.665426433997194,Potential data error
assaults,count,NewYorkcity,62778.0,31.513884961803324,Potential data error
larcenies,count,NewYorkcity,235132.0,30.682109981008292,Potential data error
arsons,count,LosAngelescity,5119.0,28.8468589077475,Potential data error
rapes,count,NewYorkcity,2818.0,27.72598850002009,Potential data error
arsons,count,NewYorkcity,4443.0,25.015089141610225,Potential data error
assaults,count,LosAngelescity,42437.0,21.24979320747531,Potential data error
assaults,count,Chicagocity,39753.0,19.89544375225598,Potential data error
murders,count,LosAngelescity,1076.0,18.369284929433018,Potential data error
autoTheft,count,LosAngelescity,59764.0,18.20065914183676,Potential data error
rapes,count,LosAngelescity,1773.0,17.348343735193378,Potential data error
robberies,count,LosAngelescity,38415.0,16.969813718173203,Potential data error
burglaries,count,LosAngelescity,50232.0,15.912565742955598,Potential data error
larcenies,count,Chicagocity,121314.0,15.69398750596022,Potential data error
robberies,count,Chicagocity,35189.0,15.535850634276544,Potential data error
larcenies,count,LosAngelescity,119092.0,15.40138345265093,Potential data error
burglaries,count,Chicagocity,45670.0,14.445193604670111,Potential data error
murders,count,Chicagocity,845.0,14.397027919635908,Potential data error
burglPerPop,ratio,Bellinghamcity,11881.02,14.222911835171834,Potential data error
arsons,count,Philadelphiacity,2282.0,12.765896146606302,Potential data error
autoTheft,count,Chicagocity,40438.0,12.263808973789146,Potential data error
racePctAsian,percentage,MontereyParkcity,57.46,12.249460584457088,Potential data error
larcPerPop,ratio,EastLongmeadowtown,25910.55,11.864403609373676,Potential data error
PctWOFullPlumb,percentage,Pharrcity,5.33,11.51095696856115,Potential data error
rapesPerPop,ratio,Laconiacity,401.35,11.192372817774645,Potential data error
PctHousOccup,percentage,OceanCitycity,37.47,11.00563469164324,Potential data error
rapes,count,Houstoncity,1109.0,10.7543187362987,Potential data error
arsonsPerPop,ratio,Garycity,436.37,10.516365133585339,Potential data error
PctUsePubTrans,percentage,NewYorkcity,54.33,10.441955125494678,Potential data error
assaultPerPop,ratio,BentonHarborcity,4932.5,10.424109540976206,Potential data error
PctVacantBoarded,percentage,Camdencity,39.89,10.332896011503617,Potential data error
PctUsePubTrans,percentage,Hobokencity,52.59,10.087706731111119,Potential data error
PctVacantBoarded,percentage,HighlandParkcity,38.71,10.004350275524859,Potential data error
