communityname,racepctblack,racePctHisp,pctUrban,PctNotSpeakEnglWell,medIncome,pctWPubAsst,PctPopUnderPov,PctUnemployed,PctFam2Par,PctHousOccup,PctVacantBoarded,PctHousNoPhone,PctSameHouse85,murdPerPop,robbbPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop
BerkeleyHeightstownship,1.37,1.88,100.0,1.37,5.147419278812161,1.03,1.96,2.7,91.43,98.37,3.12,0.0,65.29,0.0,8.2,131.26,16.41,41.02
Marpletownship,0.8,0.85,100.0,1.81,1.9415507895357056,2.75,3.98,2.43,86.91,97.15,0.0,0.31,71.27,0.0,21.26,110.55,4.25,127.56
Tigardcity,0.74,2.35,100.0,1.14,0.4982323827480556,2.94,4.75,4.01,78.54,95.68,0.92,1.55,36.6,8.3,154.95,376.3,60.87,218.59
Gloversvillecity,1.7,0.7,0.0,0.56,-1.27987273155786,11.71,17.23,9.86,64.02,91.19,2.54,7.0,56.7,0.0,57.86,271.93,21.08,306.64
Bemidjicity,0.53,0.52,0.0,0.39,-1.6557860004713647,11.21,29.99,9.08,58.59,92.45,3.9,7.45,42.22,0.0,32.04,728.93,40.05,374.06
Springfieldcity,2.51,0.95,100.0,0.6,-1.1623851048786236,7.12,17.78,5.72,71.94,91.81,2.09,6.13,42.29,4.63,90.05,300.6,88.72,442.95
Norwoodtown,1.6,1.1,100.0,0.6,1.3391468300730616,5.41,4.01,4.85,79.53,95.11,1.41,0.69,63.45,0.0,30.44,487.1,57.5,226.63
Andersoncity,14.2,0.63,100.0,0.28,-0.9686542540655196,8.81,17.98,8.19,62.56,92.22,6.39,8.42,54.85,13.13,160.8,205.1,14.77,439.73
Fargocity,0.35,0.73,100.0,0.43,-0.7205986330426585,4.21,13.68,4.18,79.35,95.07,0.45,2.66,40.72,0.0,20.05,258.18,10.03,115.31
Wacocity,23.14,16.35,100.0,2.51,-1.6013433891114777,9.06,28.68,8.39,61.65,87.57,5.64,11.74,42.33,26.88,419.89,991.8,16.68,1544.24
Shermancity,12.63,4.39,100.0,0.81,-0.7869432005656375,7.02,15.61,7.19,68.41,87.33,2.77,7.89,44.95,3.11,220.96,469.94,18.67,722.02
SanPablocity,21.34,26.78,100.0,10.8,-0.7025689370728259,23.63,19.02,10.16,58.06,92.42,3.78,6.25,38.61,40.84,1143.81,1591.71,74.03,2605.96
BowlingGreencity,12.18,0.68,0.0,0.59,-1.3431534291774687,9.6,23.91,6.93,64.6,91.27,1.51,10.67,41.51,6.54,126.52,322.85,19.63,798.39
PineBluffcity,53.52,0.43,100.0,0.54,-1.4492104642941317,13.58,27.71,11.05,58.65,90.0,4.06,11.65,56.01,27.26,444.61,880.7,78.36,1476.93
NewUlmcity,0.06,0.59,0.0,0.42,-0.665095451331605,6.6,6.84,3.67,79.99,96.65,0.0,1.5,61.36,0.0,0.0,153.58,7.31,374.06
Maplewoodcity,2.52,1.55,100.0,0.69,0.7559509780815461,4.87,6.22,4.17,76.68,94.85,2.08,0.35,55.61,0.0,79.7,469.34,20.66,374.06
Enfieldtown,2.65,2.28,96.51,0.92,1.5547961348102757,3.78,2.89,4.01,81.96,96.21,0.16,0.89,60.3,2.19,50.46,508.94,15.36,89.94
Glendalecity,1.3,20.96,100.0,15.46,0.3453924110299317,11.27,14.37,6.95,77.1,95.13,2.25,1.53,37.69,5.02,197.91,806.68,40.7,374.07
Worthingtoncity,2.28,0.74,100.0,0.53,2.169455573886401,1.59,2.35,2.57,82.5,97.14,0.61,0.18,59.75,0.0,66.18,119.12,26.47,112.5
Arlingtoncity,8.41,8.91,100.0,2.2,0.4250530285175583,2.71,8.21,4.99,78.19,89.26,1.81,5.5,36.76,2.39,242.88,838.8,33.18,772.77
Plymouthcity,1.61,1.02,100.0,0.56,2.3418571765260427,2.41,3.36,3.24,85.61,93.6,0.08,0.29,43.01,0.0,21.41,164.72,102.13,374.06
NewYorkcity,28.71,24.36,100.0,9.84,-0.1906669809097337,13.12,19.29,8.98,57.64,94.23,4.83,7.33,63.06,26.59,1172.43,1536.49,60.7,2097.71
Marinacity,18.97,10.73,100.0,4.31,-0.2825830780108413,6.9,9.67,3.5,80.12,95.73,0.57,1.62,26.33,12.89,270.79,322.37,32.24,644.75
Lebanoncity,0.41,0.91,0.0,1.23,0.0919160971011077,3.37,6.07,3.14,74.41,90.47,1.28,3.83,42.07,0.0,0.0,217.79,32.27,145.2
Rockledgecity,13.79,2.4,100.0,0.75,0.411619137402781,2.74,5.75,5.39,77.22,93.31,1.14,2.03,45.19,0.0,105.48,349.75,11.1,560.71
Rogerscity,0.06,1.86,0.0,0.75,-0.6178411501296253,3.92,8.72,3.31,78.73,94.31,0.34,8.04,39.82,0.0,32.42,155.61,19.45,204.23
Bellairecity,0.41,7.95,100.0,1.21,1.7029224605232147,0.73,3.33,2.69,78.29,94.85,1.25,0.87,57.14,6.69,160.6,301.12,6.69,347.97
ElCajoncity,2.92,13.97,100.0,3.17,-0.392764553382041,12.74,12.92,7.07,65.86,95.47,1.47,2.97,35.36,8.59,260.94,954.64,33.29,894.51
MosesLakecity,1.89,18.16,0.0,2.94,-0.9642941315107236,10.28,15.28,6.5,75.49,93.07,2.18,6.75,44.43,14.57,21.86,400.73,58.29,1143.9
WestMemphiscity,42.15,0.5,100.0,0.18,-1.1064105585670516,13.69,22.94,8.34,60.12,94.04,8.31,12.35,52.14,25.12,434.25,854.15,0.0,724.95
Eunicecity,26.96,0.78,0.0,2.4,-1.9522743341975015,18.81,38.27,13.93,67.27,90.68,7.32,14.35,62.57,0.0,78.28,278.33,8.7,1487.34
Laredocity,0.12,93.87,100.0,21.64,-1.5373556445910912,16.71,37.29,11.24,75.51,94.21,6.4,12.42,60.11,13.75,106.72,680.91,52.38,689.42
Amsterdamcity,1.46,11.61,0.0,2.49,-1.0929766674522745,7.08,13.5,8.97,65.74,92.49,2.1,6.72,61.42,0.0,14.98,84.88,21.08,49.93
Gorhamtown,0.37,0.45,33.1,0.24,0.61006363422107,4.56,4.05,5.73,80.48,96.69,0.0,1.17,51.97,0.0,0.0,66.89,0.0,21.66
RockSpringscity,1.17,7.46,0.0,0.61,0.3453924110299317,5.74,8.87,5.13,78.88,88.47,7.53,3.51,54.59,4.92,29.54,374.14,0.0,649.83
Oakdalecity,0.24,17.04,0.0,3.08,-0.496229083195852,13.22,12.63,10.34,70.31,95.98,1.08,3.3,39.82,0.0,50.6,368.66,93.97,346.97
Hendersoncity,52.88,0.54,0.0,0.68,-1.52510016497761,13.17,24.07,7.91,49.68,93.34,4.9,12.61,57.15,36.77,447.33,625.04,61.28,1770.94
Norcocity,7.95,19.55,100.0,2.25,2.374852698562338,5.92,5.34,5.1,82.9,96.66,3.63,2.5,45.88,4.04,117.11,1033.84,60.58,609.81
Greenvillecity,59.63,0.56,0.0,0.21,-1.5768324298845158,18.48,31.96,12.45,52.47,92.91,12.14,11.02,59.55,35.96,148.31,417.98,128.09,559.55
SanCarloscity,0.94,6.46,100.0,1.64,2.73591798255951,2.52,2.73,2.43,82.5,97.41,0.68,0.56,58.4,3.54,85.06,191.38,0.0,205.56
SanAngelocity,4.8,27.99,100.0,3.89,-0.931769974074947,6.25,18.5,7.71,74.97,88.57,1.64,7.89,45.39,8.85,43.14,192.49,21.08,512.19
Barbertoncity,5.26,0.33,100.0,0.45,-1.149304737214235,12.39,16.93,8.67,66.86,94.47,3.39,5.1,59.58,0.0,78.84,318.93,68.09,734.61
Pontiaccity,42.2,8.01,100.0,1.35,-1.1170162620787178,22.07,26.67,14.4,46.61,93.17,12.83,8.97,51.8,27.27,607.12,1254.43,86.12,374.06
Suffolkcity,44.58,0.61,74.94,0.31,-0.6264435540890879,10.49,17.28,7.06,67.53,92.53,9.83,10.47,59.38,16.22,288.42,457.86,46.87,919.33
Martinsvillecity,36.84,0.37,0.0,0.51,-1.059981145415979,8.64,15.61,5.68,59.28,93.56,5.52,6.58,61.23,12.52,137.7,337.99,56.33,682.23
Bricktownship,0.63,2.58,100.0,0.85,0.860358237096394,3.6,3.74,5.55,84.22,86.55,0.72,0.67,61.13,2.92,40.9,143.15,20.45,131.47
LagunaBeachcity,0.7,6.86,100.0,2.03,2.589912797548904,2.75,6.14,1.84,76.69,86.31,0.57,0.39,44.53,0.0,91.5,578.13,12.48,794.41
Robstowncity,1.85,91.07,0.0,14.64,-1.7983737921282112,24.32,37.04,12.26,72.16,86.6,25.81,17.21,69.4,7.38,22.15,413.53,59.08,420.91
Wyomingcity,2.72,3.5,100.0,0.95,-0.0398303087438133,4.69,7.07,5.13,76.5,96.46,0.79,1.71,53.39,1.55,180.07,409.8,20.18,374.06
Hastingscity,0.31,0.49,0.0,0.61,0.5479613481027574,3.41,5.0,5.18,79.12,97.4,0.69,1.44,51.79,0.0,12.1,242.06,6.05,374.06
Paragouldcity,0.09,0.51,0.0,0.28,-1.349988215884987,8.77,18.82,7.01,76.53,94.03,4.66,10.95,52.41,4.65,9.29,162.59,4.65,92.91
BeverlyHillscity,1.7,5.4,100.0,4.86,2.699387226019326,3.47,6.6,3.8,75.73,92.63,1.38,0.4,52.74,3.0,843.97,663.76,42.05,1087.25
UniversityHeightscity,16.34,1.0,100.0,0.8,1.4064341267970777,2.47,2.9,4.65,83.94,97.45,0.0,0.21,53.8,0.0,97.77,216.5,0.0,237.45
Marioncity,4.22,0.85,0.0,0.24,-1.0608060334668867,12.41,16.85,10.98,70.49,92.53,3.38,12.2,53.95,2.88,106.44,296.29,8.63,212.87
Toledocity,19.7,3.97,100.0,0.8,-0.7803440961583785,12.29,19.09,9.92,62.64,92.09,13.37,5.49,56.77,13.89,492.02,1394.26,110.19,984.96
Philadelphiacity,39.86,5.63,100.0,2.63,-0.8057977845863775,13.98,20.27,9.62,53.45,89.36,21.96,4.25,64.33,28.7,753.74,1554.73,149.17,1279.6
Newtoncity,2.08,1.98,100.0,1.63,3.332312043365543,2.91,4.33,3.94,84.76,96.58,0.29,0.37,60.43,1.17,31.46,288.96,0.0,256.34
OrmondBeachcity,3.52,1.7,100.0,0.7,0.1488333726137167,4.52,6.72,4.21,76.18,89.52,0.81,1.73,46.85,0.0,74.45,241.97,0.0,142.7
Lynchburgcity,26.41,0.72,100.0,0.35,-0.9091444732500588,7.54,16.45,5.97,64.0,92.33,4.31,7.07,52.6,4.47,159.32,273.97,74.45,753.42
Clintoncity,17.14,0.48,100.0,0.35,0.627975489040773,3.8,9.48,3.37,76.53,94.61,0.94,2.6,46.9,8.76,61.34,52.58,21.91,122.69
Andersoncity,34.26,0.53,100.0,0.44,-1.4150365307565402,8.88,19.89,7.46,56.04,91.36,2.41,11.53,50.04,26.85,449.74,459.81,10.07,1849.3
Mesquitecity,5.83,8.77,100.0,1.19,0.5294602875324064,4.08,7.73,4.74,77.5,91.35,5.24,3.79,43.88,4.32,118.34,657.34,80.33,566.64
ParkForestvillage,24.63,3.12,100.0,0.67,0.6544897478199387,4.16,4.89,4.94,71.03,96.58,0.31,1.03,57.89,7.89,98.58,445.57,15.77,374.06
ChippewaFallscity,0.11,0.34,100.0,0.47,-0.9880980438369078,8.75,11.12,6.85,72.22,95.58,2.54,2.55,54.71,0.0,7.42,111.24,29.66,51.91
Beavercreekcity,0.92,1.02,100.0,0.49,2.0860240395946263,1.98,3.51,3.13,89.64,96.25,0.22,0.35,57.26,0.0,52.76,184.67,68.59,94.97
Keenecity,0.28,0.59,0.0,0.52,-0.0242752769267028,4.67,8.06,6.42,74.41,94.91,0.44,4.6,47.1,0.0,17.77,106.62,62.2,422.05
Springfieldtownship,2.55,0.36,73.6,0.48,0.1498939429648833,5.23,8.79,5.41,82.16,97.29,2.27,2.3,63.34,0.0,96.04,90.98,32.86,452.4
Swissvaleborough,9.69,0.75,100.0,0.35,-0.9036059391939664,8.65,12.53,6.62,63.45,93.22,5.87,1.91,64.43,18.94,170.42,1145.62,85.21,407.12
Knoxvillecity,15.78,0.67,100.0,0.48,-1.3572943671930238,9.69,20.8,7.11,62.09,91.52,7.04,6.38,47.86,8.14,346.59,935.68,100.6,1693.42
Kernersvilletown,5.59,1.49,0.0,0.81,-0.6825359415507896,2.24,8.46,5.99,66.54,93.81,1.27,6.37,34.76,7.46,126.74,313.13,7.46,462.24
Bloomingtoncity,1.61,0.93,100.0,0.71,1.213174640584492,2.63,3.7,3.28,80.21,96.29,0.15,0.63,54.64,4.65,75.59,484.96,21.08,374.06
ScotchPlainstownship,11.1,2.83,100.0,1.53,3.1526042894178645,2.35,1.49,3.75,86.47,97.46,2.53,0.41,70.79,4.61,55.27,409.91,9.21,115.14
Newingtontown,1.41,2.1,100.0,2.51,1.6544897478199387,2.87,1.79,3.44,82.24,96.67,0.26,0.25,64.52,0.0,10.26,376.17,3.42,78.65
