Pillar,Indicator,Importance_Score,Status,Weight
Crime,ViolentCrimesPerPop,0.596136645884085,Drop,0.0
Crime,arsons,0.6303294603982293,Keep,1.0
Crime,arsonsPerPop,0.6309921369571235,Keep,1.0
Crime,assaultPerPop,0.6043097123177777,Drop,0.0
Crime,assaults,0.5715716950479464,Drop,0.0
Crime,autoTheft,0.5833490549610284,Drop,0.0
Crime,autoTheftPerPop,0.5642098602825831,Drop,0.0
Crime,burglPerPop,0.5830071566680624,Drop,0.0
Crime,burglaries,0.3699635589325595,Drop,0.0
Crime,larcPerPop,0.43656949780371035,Drop,0.0
Crime,larcenies,0.3762996988894698,Drop,0.0
Crime,murdPerPop,0.5738878880546807,Drop,0.0
Crime,murders,0.5895036963522776,Drop,0.0
Crime,nonViolPerPop,0.40829821666154553,Drop,0.0
Crime,rapes,0.5693273308991498,Drop,0.0
Crime,rapesPerPop,0.5813115774040201,Drop,0.0
Crime,robbbPerPop,0.575064157820484,Drop,0.0
Crime,robberies,0.5758686546652659,Drop,0.0
Demographics,PctImmigRec5,0.5688761053715335,Drop,0.0
Demographics,PctNotSpeakEnglWell,0.6341514251698742,Drop,0.0
Demographics,PctRecentImmig,0.6267043056529903,Drop,0.0
Demographics,pctUrban,0.6974679534432074,Keep,1.0
Demographics,population,0.6419080287932493,Drop,0.0
Demographics,racePctAsian,0.6197872895135166,Drop,0.0
Demographics,racePctHisp,0.6092826911107124,Drop,0.0
Demographics,racePctWhite,0.6672957591375652,Drop,0.0
Demographics,racepctblack,0.694526441807351,Keep,1.0
Housing,NumInShelters,0.6697424176397143,Drop,0.0
Housing,OwnOccQrange,0.6686564793922216,Drop,0.0
Housing,PctFam2Par,0.6273025121307567,Drop,0.0
Housing,PctHousNoPhone,0.6153066076052213,Drop,0.0
Housing,PctHousOccup,0.6977999978759442,Keep,1.0
Housing,PctLargHouseFam,0.6198717694602167,Drop,0.0
Housing,PctPersDenseHous,0.6170453471105382,Drop,0.0
Housing,PctSameHouse85,0.7186316525929161,Keep,1.0
Housing,PctUsePubTrans,0.6535898755198105,Drop,0.0
Housing,PctVacantBoarded,0.619087560788498,Drop,0.0
Housing,PctWOFullPlumb,0.6215268797321742,Drop,0.0
Housing,PersPerFam,0.6437344861604669,Drop,0.0
Housing,PersPerRentOccHous,0.6276772087262903,Drop,0.0
Housing,RentQrange,0.6600272052652292,Drop,0.0
Income,PctPopUnderPov,0.6131206995103362,Keep,1.0
Income,PctUnemployed,0.6059763411936783,Drop,0.0
Income,medIncome,0.6082254935262116,Drop,0.0
Income,pctWPubAsst,0.6116840374413943,Keep,1.0
Income,pctWSocSec,0.5609934283283793,Drop,0.0
