Pillar,Indicator,Communality,In_High_Correlation_Group,Correlation_Partners,Decision,Rationale
Demographics,population,0.3396934293108309,False,,Drop (low communality),"Low communality (0.34), contributes little to principal components."
Demographics,racepctblack,0.5150881393578368,False,,Keep (unique information),Good communality (0.52) and relatively independent from other indicators.
Demographics,racePctWhite,0.4243191971252173,False,,Drop (low communality),"Low communality (0.42), contributes little to principal components."
Demographics,racePctAsian,0.26595763171172193,False,,Drop (low communality),"Low communality (0.27), contributes little to principal components."
Demographics,racePctHisp,0.23094230370237462,False,,Drop (low communality),"Low communality (0.23), contributes little to principal components."
Demographics,pctUrban,0.524893178144025,False,,Keep (unique information),Good communality (0.52) and relatively independent from other indicators.
Demographics,PctImmigRec5,0.0962536845717785,False,,Drop (low communality),"Low communality (0.10), contributes little to principal components."
Demographics,PctRecentImmig,0.28901435217663424,False,,Drop (low communality),"Low communality (0.29), contributes little to principal components."
Demographics,PctNotSpeakEnglWell,0.3138380838995808,False,,Drop (low communality),"Low communality (0.31), contributes little to principal components."
Income,medIncome,0.22741831175403884,False,,Drop (low communality),"Low communality (0.23), contributes little to principal components."
Income,pctWSocSec,0.06997809442793104,False,,Drop (low communality),"Low communality (0.07), contributes little to principal components."
Income,pctWPubAsst,0.2389467914713143,False,,Drop (low communality),"Low communality (0.24), contributes little to principal components."
Income,PctPopUnderPov,0.2437356650344542,False,,Drop (low communality),"Low communality (0.24), contributes little to principal components."
Income,PctUnemployed,0.21992113731226084,False,,Drop (low communality),"Low communality (0.22), contributes little to principal components."
Housing,PersPerFam,0.3457816205348897,False,,Drop (low communality),"Low communality (0.35), contributes little to principal components."
Housing,PctFam2Par,0.2910083737691889,False,,Drop (low communality),"Low communality (0.29), contributes little to principal components."
Housing,PctLargHouseFam,0.2662392315340559,False,,Drop (low communality),"Low communality (0.27), contributes little to principal components."
Housing,PersPerRentOccHous,0.29225736242096756,False,,Drop (low communality),"Low communality (0.29), contributes little to principal components."
Housing,PctPersDenseHous,0.2568178237017939,False,,Drop (low communality),"Low communality (0.26), contributes little to principal components."
Housing,PctHousOccup,0.525999992919814,False,,Keep (unique information),Good communality (0.53) and relatively independent from other indicators.
Housing,PctVacantBoarded,0.2636252026283267,False,,Drop (low communality),"Low communality (0.26), contributes little to principal components."
Housing,PctHousNoPhone,0.25102202535073764,False,,Drop (low communality),"Low communality (0.25), contributes little to principal components."
Housing,PctWOFullPlumb,0.27175626577391415,False,,Drop (low communality),"Low communality (0.27), contributes little to principal components."
Housing,OwnOccQrange,0.4288549313074055,False,,Drop (low communality),"Low communality (0.43), contributes little to principal components."
Housing,RentQrange,0.40009068421743066,False,,Drop (low communality),"Low communality (0.40), contributes little to principal components."
Housing,NumInShelters,0.4324747254657143,False,,Drop (low communality),"Low communality (0.43), contributes little to principal components."
Housing,PctSameHouse85,0.595438841976387,False,,Keep (unique information),Good communality (0.60) and relatively independent from other indicators.
Housing,PctUsePubTrans,0.37863291839936836,False,,Drop (low communality),"Low communality (0.38), contributes little to principal components."
Crime,murders,0.1650123211742587,False,,Drop (low communality),"Low communality (0.17), contributes little to principal components."
Crime,murdPerPop,0.11295962684893592,False,,Drop (low communality),"Low communality (0.11), contributes little to principal components."
Crime,rapes,0.09775776966383275,False,,Drop (low communality),"Low communality (0.10), contributes little to principal components."
Crime,rapesPerPop,0.13770525801340044,False,,Drop (low communality),"Low communality (0.14), contributes little to principal components."
Crime,robberies,0.11956218221755312,False,,Drop (low communality),"Low communality (0.12), contributes little to principal components."
Crime,robbbPerPop,0.11688052606827995,False,,Drop (low communality),"Low communality (0.12), contributes little to principal components."
Crime,assaults,0.10523898349315466,False,,Drop (low communality),"Low communality (0.11), contributes little to principal components."
Crime,assaultPerPop,0.21436570772592584,False,,Drop (low communality),"Low communality (0.21), contributes little to principal components."
Crime,burglaries,0.09987852977519832,True,larcenies (0.91),Drop (low communality),"Low communality (0.10), contributes little to principal components."
Crime,burglPerPop,0.1433571888935413,False,,Drop (low communality),"Low communality (0.14), contributes little to principal components."
Crime,larcenies,0.12099899629823269,True,burglaries (0.91),Drop (low communality),"Low communality (0.12), contributes little to principal components."
Crime,larcPerPop,0.3218983260123678,True,nonViolPerPop (0.92),Drop (low communality),"Low communality (0.32), contributes little to principal components."
Crime,autoTheft,0.14449684987009473,False,,Drop (low communality),"Low communality (0.14), contributes little to principal components."
Crime,autoTheftPerPop,0.08069953427527735,False,,Drop (low communality),"Low communality (0.08), contributes little to principal components."
Crime,arsons,0.30109820132743137,False,,Drop (low communality),"Low communality (0.30), contributes little to principal components."
Crime,arsonsPerPop,0.30330712319041164,False,,Drop (low communality),"Low communality (0.30), contributes little to principal components."
Crime,ViolentCrimesPerPop,0.1871221529469501,False,,Drop (low communality),"Low communality (0.19), contributes little to principal components."
Crime,nonViolPerPop,0.22766072220515193,True,larcPerPop (0.92),Drop (low communality),"Low communality (0.23), contributes little to principal components."
