communityname,racepctblack,pctUrban,pctWPubAsst,PctPopUnderPov,PctHousOccup,PctSameHouse85,arsons,arsonsPerPop
BerkeleyHeightstownship,1.37,100.0,1.03,1.96,98.37,65.29,1.0986122886681098,16.41
Marpletownship,0.8,100.0,2.75,3.98,97.15,71.27,0.6931471805599453,4.25
Tigardcity,0.74,100.0,2.94,4.75,95.68,36.6,3.1354942159291497,60.87
Gloversvillecity,1.7,0.0,11.71,17.23,91.19,56.7,1.791759469228055,21.08
Bemidjicity,0.53,0.0,11.21,29.99,92.45,42.22,1.791759469228055,40.05
Springfieldcity,2.51,100.0,7.12,17.78,91.81,42.29,4.90527477843843,88.72
Norwoodtown,1.6,100.0,5.41,4.01,95.11,63.45,2.8903717578961645,57.5
Andersoncity,14.2,100.0,8.81,17.98,92.22,54.85,2.302585092994046,14.77
Fargocity,0.35,100.0,4.21,13.68,95.07,40.72,2.1972245773362196,10.03
Wacocity,23.14,100.0,9.06,28.68,87.57,42.33,2.9444389791664403,16.68
Shermancity,12.63,100.0,7.02,15.61,87.33,44.95,1.9459101490553132,18.67
SanPablocity,21.34,100.0,23.63,19.02,92.42,38.61,3.044522437723423,74.03
BowlingGreencity,12.18,0.0,9.6,23.91,91.27,41.51,2.302585092994046,19.63
PineBluffcity,53.52,100.0,13.58,27.71,90.0,56.01,3.8501476017100584,78.36
NewUlmcity,0.06,0.0,6.6,6.84,96.65,61.36,0.6931471805599453,7.31
Maplewoodcity,2.52,100.0,4.87,6.22,94.85,55.61,2.0794415416798357,20.66
Enfieldtown,2.65,96.51,3.78,2.89,96.21,60.3,2.0794415416798357,15.36
Glendalecity,1.3,100.0,11.27,14.37,95.13,37.69,4.30406509320417,40.7
Worthingtoncity,2.28,100.0,1.59,2.35,97.14,59.75,1.6094379124341005,26.47
Arlingtoncity,8.41,100.0,2.71,8.21,89.26,36.76,4.584967478670572,33.18
Plymouthcity,1.61,100.0,2.41,3.36,93.6,43.01,4.143134726391533,102.13
NewYorkcity,28.71,100.0,13.12,19.29,94.23,63.06,8.39931015075952,60.7
Marinacity,18.97,100.0,6.9,9.67,95.73,26.33,1.791759469228055,32.24
Lebanoncity,0.41,0.0,3.37,6.07,90.47,42.07,1.6094379124341005,32.27
Rockledgecity,13.79,100.0,2.74,5.75,93.31,45.19,1.0986122886681098,11.1
Rogerscity,0.06,0.0,3.92,8.72,94.31,39.82,1.9459101490553132,19.45
Bellairecity,0.41,100.0,0.73,3.33,94.85,57.14,0.6931471805599453,6.69
ElCajoncity,2.92,100.0,12.74,12.92,95.47,35.36,3.4657359027997265,33.29
MosesLakecity,1.89,0.0,10.28,15.28,93.07,44.43,2.1972245773362196,58.29
WestMemphiscity,42.15,100.0,13.69,22.94,94.04,52.14,0.0,0.0
Eunicecity,26.96,0.0,18.81,38.27,90.68,62.57,0.6931471805599453,8.7
