communityname,racepctblack,racePctHisp,pctUrban,PctNotSpeakEnglWell,PctPopUnderPov,medIncome,pctWPubAsst,PctUnemployed,PctHousOccup,PctSameHouse85,PctVacantBoarded,PctHousNoPhone,PctFam2Par,ViolentCrimesPerPop,murdPerPop,robbbPerPop,autoTheftPerPop,arsonsPerPop
BerkeleyHeightstownship,1.37,1.88,100.0,1.37,1.96,5.147419278812161,1.03,2.7,98.37,65.29,3.12,0.0,91.43,41.02,0.0,8.2,131.26,16.41
Marpletownship,0.8,0.85,100.0,1.81,3.98,1.9415507895357056,2.75,2.43,97.15,71.27,0.0,0.31,86.91,127.56,0.0,21.26,110.55,4.25
Tigardcity,0.74,2.35,100.0,1.14,4.75,0.4982323827480556,2.94,4.01,95.68,36.6,0.92,1.55,78.54,218.59,8.3,154.95,376.3,60.87
Gloversvillecity,1.7,0.7,0.0,0.56,17.23,-1.27987273155786,11.71,9.86,91.19,56.7,2.54,7.0,64.02,306.64,0.0,57.86,271.93,21.08
Bemidjicity,0.53,0.52,0.0,0.39,29.99,-1.6557860004713647,11.21,9.08,92.45,42.22,3.9,7.45,58.59,374.06,0.0,32.04,728.93,40.05
Springfieldcity,2.51,0.95,100.0,0.6,17.78,-1.1623851048786236,7.12,5.72,91.81,42.29,2.09,6.13,71.94,442.95,4.63,90.05,300.6,88.72
Norwoodtown,1.6,1.1,100.0,0.6,4.01,1.3391468300730616,5.41,4.85,95.11,63.45,1.41,0.69,79.53,226.63,0.0,30.44,487.1,57.5
Andersoncity,14.2,0.63,100.0,0.28,17.98,-0.9686542540655196,8.81,8.19,92.22,54.85,6.39,8.42,62.56,439.73,13.13,160.8,205.1,14.77
Fargocity,0.35,0.73,100.0,0.43,13.68,-0.7205986330426585,4.21,4.18,95.07,40.72,0.45,2.66,79.35,115.31,0.0,20.05,258.18,10.03
Wacocity,23.14,16.35,100.0,2.51,28.68,-1.6013433891114777,9.06,8.39,87.57,42.33,5.64,11.74,61.65,1544.24,26.88,419.89,991.8,16.68
Shermancity,12.63,4.39,100.0,0.81,15.61,-0.7869432005656375,7.02,7.19,87.33,44.95,2.77,7.89,68.41,722.02,3.11,220.96,469.94,18.67
SanPablocity,21.34,26.78,100.0,10.8,19.02,-0.7025689370728259,23.63,10.16,92.42,38.61,3.78,6.25,58.06,2605.96,40.84,1143.81,1591.71,74.03
BowlingGreencity,12.18,0.68,0.0,0.59,23.91,-1.3431534291774687,9.6,6.93,91.27,41.51,1.51,10.67,64.6,798.39,6.54,126.52,322.85,19.63
PineBluffcity,53.52,0.43,100.0,0.54,27.71,-1.4492104642941317,13.58,11.05,90.0,56.01,4.06,11.65,58.65,1476.93,27.26,444.61,880.7,78.36
NewUlmcity,0.06,0.59,0.0,0.42,6.84,-0.665095451331605,6.6,3.67,96.65,61.36,0.0,1.5,79.99,374.06,0.0,0.0,153.58,7.31
Maplewoodcity,2.52,1.55,100.0,0.69,6.22,0.7559509780815461,4.87,4.17,94.85,55.61,2.08,0.35,76.68,374.06,0.0,79.7,469.34,20.66
