Community,Min-Max Value,Min-Max Rank,Z-score Value,Z-score Rank,Rank Difference
BerkeleyHeightstownship,0.9929271821250601,62.0,0.9347728544376719,62.0,0.0
Marpletownship,0.9613113939588782,378.0,0.7792975307670321,378.0,0.0
Tigardcity,0.9280552673495929,654.0,0.6157555997092741,654.0,0.0
Gloversvillecity,0.8958878286156858,872.0,0.4575674526189135,872.0,0.0
Bemidjicity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Springfieldcity,0.846089491604682,1324.0,0.21267675040554496,1324.0,0.0
Norwoodtown,0.9251180020750828,673.0,0.60131116242811,673.0,0.0
Andersoncity,0.8472658590404932,1317.0,0.21846171160521483,1317.0,0.0
Fargocity,0.9657867048559863,343.0,0.8013055353309949,343.0,0.0
Wacocity,0.44375356198214255,2055.0,-1.7658698084717261,2055.0,0.0
Shermancity,0.7441364293960339,1662.0,-0.2886925421385445,1662.0,0.0
SanPablocity,0.05587379988601658,2187.0,-3.6733260211778944,2187.0,0.0
BowlingGreencity,0.7162360626032062,1721.0,-0.4258967305915922,1721.0,0.0
PineBluffcity,0.4683440253686194,2035.0,-1.6449425605370052,2035.0,0.0
NewUlmcity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Maplewoodcity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Enfieldtown,0.9750551650567724,252.0,0.8468845619259119,252.0,0.0
Glendalecity,0.8712535254489923,1219.0,0.33642461606805507,1219.0,0.0
Worthingtoncity,0.9668132863760576,329.0,0.8063539020921977,329.0,0.0
Arlingtoncity,0.7255958556794434,1700.0,-0.3798685610463903,1700.0,0.0
Plymouthcity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
NewYorkcity,0.24155353567827445,2152.0,-2.7602184032485817,2152.0,0.0
Marinacity,0.7723655945404859,1590.0,-0.14987143906447076,1590.0,0.0
Lebanoncity,0.9548669462670427,448.0,0.747606004194926,448.0,0.0
Rockledgecity,0.8030680539521561,1496.0,0.001112455103319537,1496.0,0.0
Rogerscity,0.933301427715509,600.0,0.6415543707736421,600.0,0.0
Bellairecity,0.880788677646096,943.0,0.383315140077805,943.0,0.0
ElCajoncity,0.6811203986497347,1792.0,-0.5985832121171518,1792.0,0.0
MosesLakecity,0.5900103754146512,1907.0,-1.0466302536034113,1907.0,0.0
WestMemphiscity,0.743066008095746,1665.0,-0.29395649751588426,1665.0,0.0
Eunicecity,0.46454092443483214,2039.0,-1.6636448729868702,2039.0,0.0
Laredocity,0.7560462363548683,1631.0,-0.23012430142138657,1631.0,0.0
Amsterdamcity,0.98967207844398,91.0,0.9187653996895164,91.0,0.0
Gorhamtown,0.9999999999999999,12.0,0.9695544845077391,12.0,0.0
RockSpringscity,0.7705097105113179,1595.0,-0.1589980238142609,1595.0,0.0
Oakdalecity,0.8811540091479008,941.0,0.3851117118789448,941.0,0.0
Hendersoncity,0.3609329105230085,2108.0,-2.173152635790123,2108.0,0.0
Norcocity,0.7851302772135434,1557.0,-0.08709922033264539,1557.0,0.0
Greenvillecity,0.8034918384942497,1491.0,0.003196478392642282,1491.0,0.0
SanCarloscity,0.9328155368181087,607.0,0.6391649302781263,607.0,0.0
SanAngelocity,0.8207939384197219,1429.0,0.0882821188946235,1429.0,0.0
Barbertoncity,0.7395369057883122,1672.0,-0.3113113811148951,1672.0,0.0
Pontiaccity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Suffolkcity,0.6720528707749411,1809.0,-0.643174124221442,1809.0,0.0
Martinsvillecity,0.7586729698528444,1625.0,-0.21720695017119118,1625.0,0.0
Bricktownship,0.9598829477868217,393.0,0.7722729350245757,393.0,0.0
LagunaBeachcity,0.717690081980389,1717.0,-0.4187463748230557,1717.0,0.0
Robstowncity,0.8541413979044584,1291.0,0.2522731929026665,1291.0,0.0
Wyomingcity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Hastingscity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Paragouldcity,0.9739701304964123,263.0,0.841548743676527,263.0,0.0
BeverlyHillscity,0.6107064049918896,1883.0,-0.9448544610688404,1883.0,0.0
UniversityHeightscity,0.9211651152255557,706.0,0.5818722555397777,706.0,0.0
Marioncity,0.930144963539916,637.0,0.6260319904117942,637.0,0.0
Toledocity,0.6480761643114962,1843.0,-0.7610831315302485,1843.0,0.0
Philadelphiacity,0.5404348906197484,1964.0,-1.2904250470180845,1964.0,0.0
Newtoncity,0.9142640031564641,749.0,0.5479350142162459,749.0,0.0
OrmondBeachcity,0.9557802750215545,437.0,0.7520974336977755,437.0,0.0
Lynchburgcity,0.7326650202393651,1688.0,-0.345104896694335,1688.0,0.0
Clintoncity,0.9630905583726672,357.0,0.7880468354385828,357.0,0.0
Andersoncity,0.33230553404158936,2120.0,-2.313932002127439,2120.0,0.0
Mesquitecity,0.8009016381464541,1502.0,-0.009541215677439293,1502.0,0.0
ParkForestvillage,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
ChippewaFallscity,0.9889487220704066,96.0,0.9152081875232595,96.0,0.0
Beavercreekcity,0.9732175476026946,270.0,0.837847805766179,270.0,0.0
Keenecity,0.853724919992401,1295.0,0.2502251010493665,1295.0,0.0
Springfieldtownship,0.8426371089126272,1341.0,0.1956991468847732,1341.0,0.0
Swissvaleborough,0.8591793193143458,1272.0,0.27704791804038453,1272.0,0.0
Knoxvillecity,0.3892534085429118,2097.0,-2.0338823897657643,2097.0,0.0
Kernersvilletown,0.8390422469348685,1357.0,0.1780208803615571,1357.0,0.0
Bloomingtoncity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
ScotchPlainstownship,0.9658488112112931,341.5,0.8016109525371888,341.5,0.0
Newingtontown,0.9791797577121478,193.0,0.8671678575607804,193.0,0.0
Moberlycity,0.6480505911063699,1844.0,-0.7612088915563282,1844.0,0.0
Sandycity,0.9598062281714427,395.0,0.7718956549463363,395.0,0.0
Wheatoncity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
WhiteLaketownship,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Chickashacity,0.5934444915316157,1903.0,-1.029742478672697,1903.0,0.0
Tucsoncity,0.653687656179217,1835.0,-0.7334877886647406,1835.0,0.0
Gallowaytownship,0.9161271938156681,736.0,0.5570975304020588,736.0,0.0
Sweetwatercity,0.666649617863249,1816.0,-0.6697454211602999,1816.0,0.0
Portsmouthcity,0.8698287325919539,1226.0,0.3294179860436104,1226.0,0.0
Hulltown,0.6828959097485057,1790.0,-0.5898518731636124,1790.0,0.0
Scotttownship,0.993223100641522,61.0,0.9362280775965951,61.0,0.0
Pittsfieldtownship,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Duncanvillecity,0.837683213748155,1365.0,0.17133763326131735,1365.0,0.0
Mexicocity,0.9530987417983077,461.0,0.738910596677409,461.0,0.0
NewProvidenceborough,0.9898072510996477,89.0,0.919430131255938,89.0,0.0
Barnstabletown,0.34570589352778713,2115.0,-2.2480337484616304,2115.0,0.0
Rutherfordborough,0.9607378235010446,384.0,0.7764769130392423,384.0,0.0
Portlandcity,0.3351989595358828,2117.0,-2.299703153462412,2117.0,0.0
Manassascity,0.897835045520305,859.0,0.46714318031898866,859.0,0.0
Torrancecity,0.7812139235141966,1568.0,-0.1063584700408647,1568.0,0.0
SouthJordancity,0.9381932165246744,572.0,0.665610467190904,572.0,0.0
RedwoodCitycity,0.7424668644327862,1666.0,-0.2969028752697538,1666.0,0.0
Lancastertownship,0.9806739635545293,177.0,0.8745158362274424,177.0,0.0
Algonquinvillage,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Sebastiancity,0.883714982975552,927.0,0.39770568020493446,927.0,0.0
GrandForkscity,0.9637006619806812,351.0,0.7910471103464864,351.0,0.0
NewHaventown,0.23084566936037762,2157.0,-2.8128759227399898,2157.0,0.0
Westwegocity,0.712217416083354,1727.0,-0.44565902040413025,1727.0,0.0
Doltonvillage,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Munstertown,0.9351390451695868,590.0,0.6505911269333757,590.0,0.0
Newberrytown,0.4499459309377329,2052.0,-1.7354179164424062,2052.0,0.0
NorthTonawandacity,0.976797796320381,232.0,0.8554542094173488,232.0,0.0
Redlandscity,0.7420138533705484,1667.0,-0.2991306243031667,1667.0,0.0
Avondalecity,0.7224722713390129,1705.0,-0.39522924994613606,1705.0,0.0
Lafayettecity,0.8737889260715171,981.0,0.3488928243679655,981.0,0.0
Oshkoshcity,0.951195364673905,479.0,0.7295504575934705,479.0,0.0
Tukwilacity,0.41083719366953575,2079.0,-1.9277409277544237,2079.0,0.0
Dublincity,0.9161308471306863,735.0,0.5571154961200706,735.0,0.0
Breacity,0.8737158597711563,982.0,0.34853351000773786,982.0,0.0
NorthAugustacity,0.8031228536774269,1495.0,0.0013819408734906731,1495.0,0.0
Tallahasseecity,0.28402697607809324,2134.0,-2.5513489656480663,2134.0,0.0
Princetonborough,0.9772654206426911,221.0,0.8577538213228081,221.0,0.0
Menomoniecity,0.9933473133521357,58.0,0.936838912008983,58.0,0.0
Sturgiscity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Alpharettacity,0.985664391869182,124.0,0.8990570070310121,124.0,0.0
Jeffersontownship,0.982193742602037,165.0,0.8819895749201839,165.0,0.0
StevensPointcity,0.9193055778813695,718.0,0.5727277050719758,718.0,0.0
Woodlandcity,0.798125118732738,1514.0,-0.023195161366102567,1514.0,0.0
NorthBrunswicktownship,0.9025624351536584,828.0,0.490390819425738,828.0,0.0
Springfieldcity,0.46067571714573796,2041.0,-1.6826526026429298,2041.0,0.0
Richfieldcity,0.8712571787640104,1108.0,0.33644258178606684,1108.0,0.0
Corsicanacity,0.7590054215194867,1622.0,-0.2155720698321542,1622.0,0.0
Wabashcity,0.9369693559936285,576.0,0.6595919516570858,576.0,0.0
