communityname,DemographicsScore,IncomeScore,HousingScore,CrimeScore,CRI_EqualWeights,CRI_PCAWeights,CRI_StakeholderWeights
BerkeleyHeightstownship,0.2786278360474457,0.6554019715328633,0.9603723742602776,0.9704361624449819,0.7162095860713921,0.45977805120210125,0.7355514822548982
Marpletownship,0.27275985497522354,0.45921032813297574,0.9410365712732344,0.9772135357942893,0.6625550725439308,0.4000067947695648,0.6736864444278711
Tigardcity,0.2769309372828524,0.37039449955205944,0.8413781421096233,0.8217895269902225,0.5776232764836894,0.3647306793608086,0.5813170238411797
Gloversvillecity,0.035501900096524916,0.22522008499083077,0.7169745172987928,0.9257374482435963,0.4758584876574362,0.17111209601608965,0.49578254344939165
Bemidjicity,0.029359118500335627,0.1949202277031556,0.6661346748430506,0.866318348097279,0.4391830922859552,0.1529704498395762,0.4574703314088076
Springfieldcity,0.28228825102975863,0.2485439189747437,0.7647610557972857,0.8094766516810321,0.526267469370705,0.3276332789398388,0.5268160325621416
Norwoodtown,0.2781970914373846,0.41363494514456367,0.8708903079752499,0.8777360803688512,0.6101146062315124,0.38179186128428894,0.6172287875365514
Andersoncity,0.3393605045265943,0.25255821681722307,0.6895304924945137,0.8467273150313666,0.5320441322174243,0.35914370751800906,0.5355638589587985
Fargocity,0.2711509280149455,0.2873812175956113,0.8451768599147439,0.9596786274925249,0.5908469082544564,0.3430241693989699,0.5973835111123788
Wacocity,0.42405326842315655,0.20552876355309854,0.6443714025720695,0.5875463428792519,0.4653749443568941,0.38517087340626277,0.45160746612875036
Shermancity,0.34131259331430575,0.27103998867708307,0.717208676070254,0.8387228546820302,0.5420710281859182,0.3673274184968588,0.544633106884646
SanPablocity,0.43746769589078743,0.2273511980078254,0.6647986742037498,0.20444998207785037,0.3835168875450533,0.3877064446159203,0.3499936280446102
BowlingGreencity,0.0871664978590582,0.22509877323885336,0.6964756789661416,0.8434969982036776,0.4630594870669327,0.19816017393228744,0.4773071667977992
PineBluffcity,0.5327671825482897,0.20055929155339822,0.6513641951792679,0.5264410564495159,0.47778293143261796,0.448443565007864,0.45492637994638574
NewUlmcity,0.027205806262627284,0.29067742398438295,0.8796073757090449,0.9558566823664109,0.5383368220806165,0.19774357741401394,0.5553228682995726
Maplewoodcity,0.28388229602495,0.37942138240715556,0.8431473950794955,0.9012942409101699,0.6019363286054427,0.3743902539089616,0.6096206252160867
Enfieldtown,0.277871028790118,0.4325311332013545,0.8921270763350111,0.9189922484144589,0.6303803716852356,0.38992605731119573,0.6394566355097698
Glendalecity,0.31980550717443285,0.3287881921502025,0.8259407093906583,0.8063058365879182,0.570210061325803,0.3774989593000821,0.5696774519344545
Worthingtoncity,0.2806381849363962,0.4768412503780769,0.8999959976239497,0.9450530530832923,0.6506321215054287,0.40552699341880327,0.66269512755048
Arlingtoncity,0.3316337790622965,0.36266516089409195,0.7957806329650325,0.7881609993789312,0.5695601430750881,0.3912878426454039,0.5707307304873728
Plymouthcity,0.2780594495864475,0.4833680663600085,0.89458830527942,0.8450637181781505,0.6252698848510067,0.40190372820580633,0.6330590863346213
NewYorkcity,0.46802620826502284,0.2857933893605845,0.6815426085209284,0.32597019410216566,0.4403331000621754,0.42818994116253223,0.41344283839601537
Marinacity,0.38720965283915654,0.3105941290202016,0.844173212444909,0.7849285798165035,0.5817263935301926,0.41411905830454393,0.5749333857078247
Lebanoncity,0.029241929591660176,0.3451647942838222,0.7885695567957293,0.9393275386965846,0.5255759548419491,0.20678982174454572,0.5489099971715999
Rockledgecity,0.3417548066832174,0.36326401080269793,0.8284674926352473,0.903819830241649,0.6093265350907029,0.40411185024127655,0.6141696121769971
Rogerscity,0.03038097803558264,0.29925668652389326,0.8154919036274042,0.948967958059401,0.5235243815615702,0.19699311057830046,0.5436419697075856
Bellairecity,0.2902397705439139,0.45037686398896976,0.8560492007852355,0.8861455900994625,0.6207028563543955,0.3985947807025034,0.6302145304923595
ElCajoncity,0.3174143491355058,0.28218342084823417,0.7472309286367104,0.7361569878174807,0.5207464216094828,0.35459483816848303,0.5184311781541577
MosesLakecity,0.08155170533469591,0.25330183520797134,0.7919926479321081,0.7470564389529057,0.4684756568569203,0.20651748498143002,0.47481635290162394
WestMemphiscity,0.47706586209804613,0.22778814628370408,0.6543376846663236,0.6836033123902256,0.5106987513595749,0.427805237248384,0.4996981469550529
Eunicecity,0.1591763180546356,0.14536287998660874,0.6938182805078705,0.8493263102662758,0.4619209472038477,0.21970916674305868,0.4690056767883666
Laredocity,0.5049024079983928,0.17945886531321426,0.770958723522549,0.7533437873274476,0.5521659460404009,0.4424732158780819,0.5350130220963869
Amsterdamcity,0.062205817015680065,0.25219943921696353,0.7400817739616093,0.9672175886274393,0.5054261547054231,0.19813406914027434,0.5262826265487788
Gorhamtown,0.10863358057940506,0.37135938883899766,0.8762607011673333,0.9969355855132276,0.588297314024741,0.27114872388863465,0.6074673486550153
RockSpringscity,0.050941003703706675,0.34950938221803524,0.8003145896042063,0.8965941439653118,0.524339779872815,0.22063684876710882,0.5440821765165866
Oakdalecity,0.07031406219358476,0.27102845902904565,0.78264220333708,0.8344050922528946,0.48959745420315126,0.20696006264490455,0.5022213184907149
Hendersoncity,0.2876616473820504,0.2038559459728172,0.5979506646761321,0.49811732643522005,0.396896396116555,0.2949601273039704,0.38771444413404765
Norcocity,0.35780118200103167,0.47251838788234707,0.8682254231352745,0.7666802766694025,0.6163063174220139,0.44274834003466,0.6169649203927862
Greenvillecity,0.32135707786408435,0.17537308625388745,0.5972334782532763,0.5838167628456448,0.41944510130422324,0.3104370356714659,0.41147506595333183
SanCarloscity,0.2885781741499381,0.5080044237809958,0.8979906788216397,0.9413976334554812,0.6589927275520137,0.4188186071767107,0.6721343877652586
SanAngelocity,0.36372541411026454,0.26144884919265937,0.7699510663004133,0.8764338391476496,0.5678897921877467,0.38359903603606993,0.5681001025842283
Barbertoncity,0.2943070521916973,0.2329471354794408,0.7552993861462356,0.8343532475863867,0.5292267053509401,0.3307363800778442,0.5301114025873348
Pontiaccity,0.49661746937667456,0.19538149618696968,0.5584963176996223,0.539772931186115,0.4475670536123454,0.418398542026097,0.43156908562718477
Suffolkcity,0.42858717352233294,0.2705604005422923,0.7066144037141571,0.7180004384572427,0.5309406040590063,0.4153914845138428,0.5236085671471584
Martinsvillecity,0.20813434164935748,0.2525380424917017,0.6889998116166052,0.7784314927687656,0.48202592213160744,0.2767492512754841,0.4887176912313327
Bricktownship,0.2771995810035464,0.3891497950766233,0.8710409398123657,0.9384441418639319,0.6189586144391168,0.3764427497117072,0.627926285245349
