communityname,DemographicsScore,IncomeScore,HousingScore,CrimeScore
BerkeleyHeightstownship,0.2786278360474457,0.6554019715328633,0.9603723742602776,0.9704361624449819
Marpletownship,0.27275985497522354,0.45921032813297574,0.9410365712732344,0.9772135357942893
Tigardcity,0.2769309372828524,0.37039449955205944,0.8413781421096233,0.8217895269902225
Gloversvillecity,0.035501900096524916,0.22522008499083077,0.7169745172987928,0.9257374482435963
Bemidjicity,0.029359118500335627,0.1949202277031556,0.6661346748430506,0.866318348097279
Springfieldcity,0.28228825102975863,0.2485439189747437,0.7647610557972857,0.8094766516810321
Norwoodtown,0.2781970914373846,0.41363494514456367,0.8708903079752499,0.8777360803688512
Andersoncity,0.3393605045265943,0.25255821681722307,0.6895304924945137,0.8467273150313666
Fargocity,0.2711509280149455,0.2873812175956113,0.8451768599147439,0.9596786274925249
Wacocity,0.42405326842315655,0.20552876355309854,0.6443714025720695,0.5875463428792519
Shermancity,0.34131259331430575,0.27103998867708307,0.717208676070254,0.8387228546820302
SanPablocity,0.43746769589078743,0.2273511980078254,0.6647986742037498,0.20444998207785037
BowlingGreencity,0.0871664978590582,0.22509877323885336,0.6964756789661416,0.8434969982036776
PineBluffcity,0.5327671825482897,0.20055929155339822,0.6513641951792679,0.5264410564495159
NewUlmcity,0.027205806262627284,0.29067742398438295,0.8796073757090449,0.9558566823664109
Maplewoodcity,0.28388229602495,0.37942138240715556,0.8431473950794955,0.9012942409101699
Enfieldtown,0.277871028790118,0.4325311332013545,0.8921270763350111,0.9189922484144589
Glendalecity,0.31980550717443285,0.3287881921502025,0.8259407093906583,0.8063058365879182
Worthingtoncity,0.2806381849363962,0.4768412503780769,0.8999959976239497,0.9450530530832923
Arlingtoncity,0.3316337790622965,0.36266516089409195,0.7957806329650325,0.7881609993789312
Plymouthcity,0.2780594495864475,0.4833680663600085,0.89458830527942,0.8450637181781505
NewYorkcity,0.46802620826502284,0.2857933893605845,0.6815426085209284,0.32597019410216566
Marinacity,0.38720965283915654,0.3105941290202016,0.844173212444909,0.7849285798165035
Lebanoncity,0.029241929591660176,0.3451647942838222,0.7885695567957293,0.9393275386965846
Rockledgecity,0.3417548066832174,0.36326401080269793,0.8284674926352473,0.903819830241649
Rogerscity,0.03038097803558264,0.29925668652389326,0.8154919036274042,0.948967958059401
Bellairecity,0.2902397705439139,0.45037686398896976,0.8560492007852355,0.8861455900994625
ElCajoncity,0.3174143491355058,0.28218342084823417,0.7472309286367104,0.7361569878174807
MosesLakecity,0.08155170533469591,0.25330183520797134,0.7919926479321081,0.7470564389529057
WestMemphiscity,0.47706586209804613,0.22778814628370408,0.6543376846663236,0.6836033123902256
Eunicecity,0.1591763180546356,0.14536287998660874,0.6938182805078705,0.8493263102662758
Laredocity,0.5049024079983928,0.17945886531321426,0.770958723522549,0.7533437873274476
Amsterdamcity,0.062205817015680065,0.25219943921696353,0.7400817739616093,0.9672175886274393
Gorhamtown,0.10863358057940506,0.37135938883899766,0.8762607011673333,0.9969355855132276
RockSpringscity,0.050941003703706675,0.34950938221803524,0.8003145896042063,0.8965941439653118
Oakdalecity,0.07031406219358476,0.27102845902904565,0.78264220333708,0.8344050922528946
Hendersoncity,0.2876616473820504,0.2038559459728172,0.5979506646761321,0.49811732643522005
Norcocity,0.35780118200103167,0.47251838788234707,0.8682254231352745,0.7666802766694025
Greenvillecity,0.32135707786408435,0.17537308625388745,0.5972334782532763,0.5838167628456448
SanCarloscity,0.2885781741499381,0.5080044237809958,0.8979906788216397,0.9413976334554812
SanAngelocity,0.36372541411026454,0.26144884919265937,0.7699510663004133,0.8764338391476496
Barbertoncity,0.2943070521916973,0.2329471354794408,0.7552993861462356,0.8343532475863867
Pontiaccity,0.49661746937667456,0.19538149618696968,0.5584963176996223,0.539772931186115
Suffolkcity,0.42858717352233294,0.2705604005422923,0.7066144037141571,0.7180004384572427
Martinsvillecity,0.20813434164935748,0.2525380424917017,0.6889998116166052,0.7784314927687656
Bricktownship,0.2771995810035464,0.3891497950766233,0.8710409398123657,0.9384441418639319
LagunaBeachcity,0.28819981380063825,0.4967418934756246,0.8073816544319068,0.8687698693478314
Robstowncity,0.26854151861284953,0.14349843995290334,0.6379145375196438,0.8331043239010876
Wyomingcity,0.2899118594903342,0.3307291774023166,0.8450271781696833,0.8820243744282565
Hastingscity,0.028043864419622113,0.37051606190180214,0.8660419173168319,0.9479154273452813
Paragouldcity,0.027234567090551078,0.23077502510956036,0.7828697756811887,0.9542804145191326
BeverlyHillscity,0.2873148600772198,0.4986394509790297,0.8284749036235817,0.6641408950521247
UniversityHeightscity,0.35056365550449137,0.4262590493021303,0.9076738543443386,0.9521660442437246
Marioncity,0.04856073956747593,0.23538380114259952,0.7379255493490845,0.9221385320600345
Toledocity,0.37509914099318176,0.251869842889996,0.6779906656540458,0.541811764395453
Philadelphiacity,0.4778302934323826,0.24547568348857476,0.5871302933147765,0.34622411415872195
Newtoncity,0.2822246812293734,0.539322810894461,0.9139308930557187,0.9503986764487338
OrmondBeachcity,0.2892137950532031,0.34378374365707115,0.8114187381222063,0.9609690034564801
Lynchburgcity,0.39983317982813915,0.2632789935045004,0.710766559854046,0.7939386204289911
Clintoncity,0.35342614821035606,0.37292125788287955,0.8285212307734717,0.9128247576104433
Andersoncity,0.4380182926860518,0.22522182056607165,0.6403671877100269,0.6115401800500982
