Êcommunityname,PctPopUnderPov,medIncome,PctUnemployed,PctLess9thGrade,PctNotHSGrad,PctSameHouse85,PctForeignBorn,PctImmigRec5,PctFam2Par,PctKids2Par,racepctblack,racePctWhite,racePctAsian,racePctHisp,PctHousOwnOcc,PctHousNoPhone,PctVacantBoarded,PopDens,MedYrHousBuilt,murdPerPop,robbbPerPop,assaultPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,PctSameCity85,PctSameState85,PctBSorMore,PctEmploy,PctWorkMom
BerkeleyHeightstownship,1.96,75122.0,2.7,5.81,9.9,65.29,10.66,13.0,91.43,90.17,1.37,91.78,6.5,1.88,91.01,0.0,3.12,1845.9,1959.0,,8.2,32.81,1132.08,131.26,16.41,78.09,89.14,48.18,64.55,58.88
Marpletownship,3.98,47917.0,2.43,5.61,13.72,71.27,8.3,8.65,86.91,85.33,0.8,95.57,3.44,0.85,84.88,0.31,0.0,2186.7,1958.0,,21.26,102.05,1598.78,110.55,4.25,90.22,96.12,29.89,61.96,62.43
Tigardcity,4.75,35669.0,4.01,2.8,9.09,36.6,5.0,23.98,78.54,78.85,0.74,94.33,3.43,2.35,57.79,1.55,0.92,2780.9,1976.0,8.3,154.95,38.74,4972.19,376.3,60.87,61.26,82.85,30.13,69.8,74.19
Gloversvillecity,17.23,20580.0,9.86,11.05,33.68,56.7,2.04,13.86,64.02,62.36,1.7,97.35,0.5,0.7,54.89,7.0,2.54,3217.7,1939.0,,57.86,190.93,4142.56,271.93,?,90.17,96.24,10.81,54.74,70.27
Bemidjicity,29.99,17390.0,9.08,12.15,23.06,42.22,1.74,56.12,58.59,55.2,0.53,89.16,1.17,0.52,53.57,7.45,3.9,974.2,1958.0,,32.04,112.14,8490.87,728.93,40.05,60.34,89.02,25.28,52.44,68.94
Springfieldcity,17.78,21577.0,5.72,8.76,23.03,42.29,1.49,30.56,71.94,69.79,2.51,95.65,0.9,0.95,55.5,6.13,2.09,1995.7,1966.0,4.63,90.05,297.29,5091.64,300.6,88.72,70.61,85.66,20.66,59.02,70.52
Norwoodtown,4.01,42805.0,4.85,4.49,13.89,63.45,9.19,16.27,79.53,79.76,1.6,96.57,1.47,1.1,56.96,0.69,1.41,2643.5,1956.0,,30.44,182.66,974.19,487.1,57.5,82.23,93.53,27.01,65.42,72.81
Andersoncity,17.98,23221.0,8.19,10.09,28.67,54.85,0.87,22.82,62.56,58.7,14.2,84.87,0.4,0.63,63.82,8.42,6.39,1515.3,1954.0,13.13,160.8,210.02,3691.79,205.1,14.77,85.55,91.51,12.0,56.59,72.44
Fargocity,13.68,25326.0,4.18,5.52,11.27,40.72,1.99,33.58,79.35,79.7,0.35,97.11,1.25,0.73,48.1,2.66,0.45,2399.3,1971.0,,20.05,51.39,3946.71,258.18,10.03,67.97,81.39,30.24,68.51,78.51
Wacocity,28.68,17852.0,8.39,13.01,31.62,42.33,4.63,23.08,61.65,54.56,23.14,67.6,0.92,16.35,46.51,11.74,5.64,1319.3,1960.0,26.88,419.89,966.77,5673.63,991.8,16.68,74.05,92.12,17.02,51.37,69.23
Shermancity,15.61,24763.0,7.19,9.07,24.86,44.95,2.97,35.39,68.41,64.64,12.63,83.22,0.77,4.39,57.83,7.89,2.77,816.1,1965.0,3.11,220.96,407.69,5654.8,469.94,18.67,74.82,88.66,19.23,57.76,72.96
SanPablocity,19.02,25479.0,10.16,14.03,34.18,38.61,26.41,32.75,58.06,56.36,21.34,49.42,17.21,26.78,47.14,6.25,3.78,9387.3,1963.0,44.42,1143.81,1340,5404.4,1591.71,74.03,69.21,89.27,11.64,55.94,61.68
BowlingGreencity,23.91,20043.0,6.93,15.28,28.52,41.51,1.54,49.52,64.6,60.7,12.18,86.39,1.12,0.68,50.59,10.67,1.51,1354.2,1966.0,6.54,126.52,586.8,3895.99,322.85,19.63,72.68,88.87,23.41,58.62,68.49
PineBluffcity,27.71,19143.0,11.05,14.49,34.5,56.01,0.71,32.43,58.65,50.22,53.52,45.65,0.49,0.43,61.74,11.65,4.06,1301.5,1964.0,27.26,444.61,904.55,3424.02,880.7,78.36,85.46,92.02,16.56,51.37,70.59
NewUlmcity,6.84,25797.0,3.67,16.28,25.41,61.36,0.91,17.65,79.99,81.44,0.06,99.21,0.47,0.59,74.48,1.5,0.0,1481.2,1956.0,,0,65.82,2069.62,153.58,7.31,80.63,93.19,15.31,65.62,85.52
Maplewoodcity,6.22,37856.0,4.17,4.4,14.64,55.61,2.62,10.96,76.68,76.9,2.52,94.39,2.03,1.55,75.86,0.35,2.08,1724.8,1969.0,,79.7,109.22,4776.1,469.34,20.66,81.72,92.71,20.28,68.12,76.64
Enfieldtown,2.89,44635.0,4.01,6.55,21.62,60.3,5.22,11.7,81.96,79.92,2.65,95.72,1.04,2.28,76.15,0.89,0.16,1314.3,1960.0,2.19,50.46,37.29,1987.5,508.94,15.36,83.68,88.85,17.59,68.24,75.19
Glendalecity,14.37,34372.0,6.95,11.54,22.83,37.69,45.19,41.41,77.1,74.78,1.3,74.02,14.14,20.96,38.71,1.53,2.25,5677.3,1962.0,5.02,197.91,154.42,2509.23,806.68,40.7,73.29,76.85,28.55,60.04,59.33
Worthingtoncity,2.35,49851.0,2.57,1.33,5.95,59.75,4.73,16.19,82.5,82.05,2.28,94.74,2.67,0.74,82.53,0.18,0.61,2552.7,1963.0,,66.18,33.09,2739.73,119.12,26.47,85.21,89.74,54.76,66.85,72.84
Arlingtoncity,8.21,35048.0,4.99,3.71,12.19,36.76,7.64,30.13,78.19,75.99,8.41,82.64,3.92,8.91,51.84,5.5,1.81,2716.3,1978.0,2.39,242.88,477.55,3938.78,838.8,33.18,67.01,84.09,29.99,74.65,71.53
Plymouthcity,3.36,51314.0,3.24,1.57,5.56,43.01,2.61,22.48,85.61,86.12,1.61,95.66,2.04,1.02,73.63,0.29,0.08,1491.7,1979.0,,21.41,90.6,2418.09,164.72,102.13,76.47,85.75,41.39,78.05,73.32
NewYorkcity,19.29,29823.0,8.98,14.1,31.68,63.06,28.45,25.51,57.64,52.24,28.71,52.26,7.0,24.36,28.64,7.33,4.83,22878.2,1946.0,26.59,1174.95,857.68,3212.39,1536.49,60.7,82.76,89.78,22.98,56.12,56.42
Marinacity,9.67,29043.0,3.5,5.8,15.83,26.33,18.34,18.31,80.12,77.88,18.97,53.6,20.84,10.73,34.5,1.62,0.57,2917.9,1976.0,12.89,270.79,303.03,3526.76,322.37,32.24,46.38,54.52,17.01,75.2,64.58
Lebanoncity,6.07,32221.0,3.14,5.83,17.61,42.07,3.09,23.14,74.41,72.56,0.41,97.55,1.55,0.91,51.73,3.83,1.28,291.4,1957.0,,0,137.13,4694.68,217.79,32.27,69.61,75.44,26.78,69.56,77.15
Rockledgecity,5.75,34934.0,5.39,4.07,14.21,45.19,4.63,12.4,77.22,72.98,13.79,83.94,1.42,2.4,77.85,2.03,1.14,1581.4,1972.0,,105.48,399.71,4002.66,349.75,11.1,75.45,81.03,21.25,64.92,75.78
Rogerscity,8.72,26198.0,3.31,8.18,22.43,39.82,1.43,23.73,78.73,76.61,0.06,97.72,0.77,1.86,63.8,8.04,0.34,1073.9,1976.0,,32.42,142.64,3938.79,155.61,19.45,70.19,77.43,15.11,63.1,75.45
Bellairecity,3.33,45892.0,2.69,2.73,7.59,57.14,5.08,5.26,78.29,77.07,0.41,94.65,1.98,7.95,75.35,0.87,1.25,3697.1,1953.0,6.69,160.6,167.29,2388.92,301.12,6.69,86.99,94.36,48.93,70.55,74.41
ElCajoncity,12.92,28108.0,7.07,6.71,21.49,35.36,9.71,31.36,65.86,63.25,2.92,87.36,2.82,13.97,40.71,2.97,1.47,5943.0,1970.0,8.59,260.94,579.87,4634.68,954.64,33.29,77.14,83.16,14.45,61.86,62.42
MosesLakecity,15.28,23258.0,6.5,12.99,26.49,44.43,6.19,30.07,75.49,73.66,1.89,82.45,1.82,18.16,62.56,6.75,2.18,1189.1,1963.0,14.57,21.86,961.75,7103.83,400.73,58.29,76.23,87.33,14.51,57.18,71.15
WestMemphiscity,22.94,22052.0,8.34,15.88,37.55,52.14,0.66,5.88,60.12,51.11,42.15,56.94,0.52,0.5,57.74,12.35,8.31,1900.7,1967.0,25.12,434.25,179.44,2860.32,854.15,0,82.37,88.6,10.76,59.29,72.4
Eunicecity,38.27,14874.0,13.93,23.94,44.84,62.57,0.22,0.0,67.27,62.57,26.96,72.26,0.4,0.78,64.53,14.35,7.32,2323.5,1963.0,,78.28,1391.67,2583.28,278.33,8.7,89.93,98.48,10.82,42.8,50.89
Laredocity,37.29,18395.0,11.24,36.26,51.16,60.11,24.37,21.62,75.51,67.71,0.12,70.83,0.38,93.87,58.96,12.42,6.4,3608.7,1972.0,13.75,106.72,564.37,4089.41,680.91,52.38,86.08,91.7,11.63,51.36,52.73
Amsterdamcity,13.5,22166.0,8.97,12.54,31.33,61.42,6.03,18.96,65.74,62.69,1.46,93.15,0.56,11.61,50.94,6.72,2.1,3353.7,1939.0,,14.98,19.97,1567.81,84.88,?,85.56,93.76,12.33,52.65,69.23
Gorhamtown,4.05,36618.0,5.73,3.9,13.97,51.97,2.58,4.9,80.48,78.23,0.37,98.84,0.4,0.45,79.89,1.17,0.0,225.9,1968.0,,0,16.72,568.56,66.89,0,79.39,91.47,26.0,67.68,78.54
