communityname,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,pctUrban,medIncome,pctWSocSec,pctWPubAsst,PctPopUnderPov,PctUnemployed,PersPerFam,PctFam2Par,PctImmigRec5,PctRecentImmig,PctNotSpeakEnglWell,PctLargHouseFam,PersPerRentOccHous,PctPersDenseHous,PctHousOccup,PctVacantBoarded,PctHousNoPhone,PctWOFullPlumb,OwnOccQrange,RentQrange,NumInShelters,PctSameHouse85,PctUsePubTrans,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
BerkeleyHeightstownship,11980,1.37,91.78,6.5,1.88,100.0,75122,23.62,1.03,1.96,2.7,3.22,91.43,13.0,0.93,1.37,4.81,2.84,0.39,98.37,3.12,0.0,0.28,111000,316,11,65.29,9.63,0,0.0,0.0,0.0,1.0,8.2,4.0,32.81,14.0,114.85,138.0,1132.08,16.0,131.26,2.0,16.41,41.02,1394.59
Marpletownship,23123,0.8,95.57,3.44,0.85,100.0,47917,35.5,2.75,3.98,2.43,3.11,86.91,8.65,0.43,1.81,4.25,1.96,1.01,97.15,0.0,0.31,0.14,63600,205,0,71.27,3.84,0,0.0,1.0,4.25,5.0,21.26,24.0,102.05,57.0,242.37,376.0,1598.78,26.0,110.55,1.0,4.25,127.56,1955.95
Tigardcity,29344,0.74,94.33,3.43,2.35,100.0,35669,22.25,2.94,4.75,4.01,2.95,78.54,23.98,0.82,1.14,2.97,2.06,2.03,95.68,0.92,1.55,0.12,37300,150,16,36.6,4.37,3,8.3,6.0,16.6,56.0,154.95,14.0,38.74,274.0,758.14,1797.0,4972.19,136.0,376.3,22.0,60.87,218.59,6167.51
Gloversvillecity,16656,1.7,97.35,0.5,0.7,0.0,20580,39.48,11.71,17.23,9.86,2.98,64.02,13.86,0.28,0.56,3.93,2.2,1.21,91.19,2.54,7.0,0.87,30100,114,0,56.7,3.31,0,0.0,10.0,57.86,10.0,57.86,33.0,190.93,225.0,1301.78,716.0,4142.56,47.0,271.93,5.0,21.08,306.64,4425.450000000001
Bemidjicity,11245,0.53,89.16,1.17,0.52,0.0,17390,32.16,11.21,29.99,9.08,2.98,58.59,56.12,0.82,0.39,5.23,2.12,2.94,92.45,3.9,7.45,0.82,28900,160,2,42.22,0.38,0,0.0,7.0,26.92,4.0,32.04,14.0,112.14,91.0,728.93,1060.0,8490.87,91.0,728.93,5.0,40.05,374.06,9988.79
Springfieldcity,140494,2.51,95.65,0.9,0.95,100.0,21577,29.31,7.12,17.78,5.72,2.89,71.94,30.56,0.32,0.6,3.08,2.16,2.11,91.81,2.09,6.13,0.31,35400,134,327,42.29,0.97,7,4.63,77.0,50.98,136.0,90.05,449.0,297.29,2094.0,1386.46,7690.0,5091.64,454.0,300.6,134.0,88.72,442.95,6867.42
Norwoodtown,28700,1.6,96.57,1.47,1.1,100.0,42805,30.23,5.41,4.01,4.85,3.14,79.53,16.27,1.05,0.6,5.08,2.09,1.47,95.11,1.41,0.69,0.28,60400,361,0,63.45,9.62,0,0.0,4.0,13.53,9.0,30.44,54.0,182.66,110.0,372.09,288.0,974.19,144.0,487.1,17.0,57.5,226.63,1890.88
Andersoncity,59459,14.2,84.87,0.4,0.63,100.0,23221,32.58,8.81,17.98,8.19,2.95,62.56,22.82,0.11,0.28,3.85,2.27,1.9,92.22,6.39,8.42,0.49,26100,139,21,54.85,0.7,8,13.13,34.0,55.79,98.0,160.8,128.0,210.02,608.0,997.6,2250.0,3691.79,125.0,205.1,9.0,14.77,439.73,4909.26
Fargocity,74111,0.35,97.11,1.25,0.73,100.0,25326,19.3,4.21,13.68,4.18,3.0,79.35,33.58,0.47,0.43,2.59,1.91,1.67,95.07,0.45,2.66,0.19,39200,146,125,40.72,1.41,0,0.0,35.0,43.87,16.0,20.05,41.0,51.39,425.0,532.66,3149.0,3946.71,206.0,258.18,8.0,10.03,115.31,4747.58
Wacocity,103590,23.14,67.6,0.92,16.35,100.0,17852,29.09,9.06,28.68,8.39,3.11,61.65,23.08,0.72,2.51,6.7,2.44,6.14,87.57,5.64,11.74,0.33,38800,177,43,42.33,0.76,29,26.88,141.0,130.69,453.0,419.89,1043.0,966.77,2397.0,2221.81,6121.0,5673.63,1070.0,991.8,18.0,16.68,1544.24,8903.93
